source,text
youtube_comment,Very nice
youtube_comment,Yashu Sony super ❤❤❤❤
youtube_comment,Super❤❤❤❤❤❤❤❤❤❤❤❤❤❤
youtube_comment,❤❤❤❤❤
youtube_comment,Superb  dance  and song miru inka elanti songes tiyali althe best
youtube_comment,❤👍💐🎉
youtube_comment,Supper anna
youtube_comment,❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉❤❤❤❤❤😊
youtube_comment,Good love proposal song
youtube_comment,Supar song❤❤❤
youtube_comment,Super song anna❤❤🎉🎉
youtube_comment,👌👌👌👌👌బామ్మరిదీ 🤣🤣🤣మా మామ కు 1000000000లైక్స్ 👌👌👌👌
youtube_comment,"I would like to pop back in and point out that since Sony responded so apathetically, I've seen at least 6 major streamers post statements saying that they have intention to move forward with Sony.  And I've also personally ended my subscription.  Songo messed up."
youtube_comment,If there was a CoD campaign collection I would honestly be cool with that
youtube_comment,"If we don’t cave does that mean Sony will cave ? 🧐🔮 





Guys Sony actually caves in 🎉 🔮 🙏😀 come back to this post and watch ."
youtube_comment,Meow
youtube_comment,Glad to hear you took a day off. You definitely deserve it. Family always comes first. Thanks for keeping us updated on all the news. Crazy times we're in. God bless stay safe.
youtube_comment,the xbox backwards disc rip thing to me is great in concept but its set to xbox 1 on up the games i want to do this with are my og xb and 360 not included.
youtube_comment,"No disc, no buy."
youtube_comment,A project that didn’t pull in a ton of profit? I still love mp4 but I wouldn’t die on that hill lol
youtube_comment,Black Flag Resynched is the World's first AAAAA game!
youtube_comment,Honestly been contemplating buying Digimon time strangers on switch instead or buying the DLC on PlayStation out of spite. Probably will just never play the dlc at this point
youtube_comment,"if cartridges get too expensive... I think nintendo should do something like their famicom Disk System... pushing physical costs to consumers... rename nft and attach digital games to THAT... and if we want attach those digital games onto physical cartridges,,, even if it costs us an extra 5-10 dollars to turn our digital into a physical game."
youtube_comment,"My thought process lately has been that I don't know if Nintendo will ever actually go full digital. Nintendo's a _toy company._ If they were gonna stop making physical games, I think the old guard would have to be literally dead first."
youtube_comment,"""Goemon's Great Gathering! With probably the longest title I've ever seen...""

That's not the title. It's a list of games. It's a collection."
youtube_comment,They should keep the discs and put a royalty on games that companies sell that way anytime a game transfers hands they will get a $.
youtube_comment,"They are not digitizing any old discs for your PC.  This talk is insane, xbox is a ship burning and sinking and this makes $0 for microsoft and will cost them millions.  It is more likely they just turn off backwards compatibility."
youtube_comment,screw Sony aint buying shit from them.
youtube_comment,You guys haven't posted the last 2 spawncasts on Spotify 😑😑
youtube_comment,Doesitplay says black flag wont work.. no buy for me physically then
youtube_comment,The death of physical media has led me to buying games I don't even plan on playing anytime soon. Just building that backlog rn
youtube_comment,"LOL, trade in the physical disc that you own for a rental. This sounds like a wonderful idea. Anybody who voluntarily trades their Xbox discs for a license deserves to lose their library when Microsoft decides they are no longer worthy."
youtube_comment,Jyoti
youtube_comment,This speaker phord is really horrible
youtube_comment,Why everyweek speaks some mishappening of anyones life
youtube_comment,Why didn't you invite the past judges???!
youtube_comment,Vote for anshika Chonkar
youtube_comment,Tanishq shimla is  veri nice singer
youtube_comment,Please dont insult things like speakers on worst singing..stop this nonsense
youtube_comment,Sony please stop this unseemly and undignified act of speaker phod performance. It is most indecent act by Badsha. Please keep the sentiments of audience too and give music its dignity
youtube_comment,Sony tv new seise
youtube_comment,Aditya is better suited to be a clown shameful behaviour.
youtube_comment,Indian Idlers show promoting favourites not talented singers.Same monotonous singing and singers.
youtube_comment,The OG Amit sana is back ❤❤
youtube_comment,Waiting for suro ka king Rock Star Pawandeep ❤❤Always our favorite best great singer ❤❤pawandeep and  Jyotimayee ka ak duet dekhna hai❤❤
youtube_comment,Wrong its Platinum Jubile (75 Year)   Diamond (60 Year)
youtube_comment,Bakwaas bana Diya h show ko is vr
youtube_comment,Aditya has gone mad and becoming intolerable. Can’t Soni get a better Anchor?
youtube_comment,Waiting eagerly for Ashish 's performances tomorrow.  Please release his promos till then . Also please  give him good screen time.  He was hardly shown today.
youtube_comment,Ye indian idol ka ye record sirf shreya mam ke vajah se hi bana h unke bina maja hi nhi aata h
youtube_comment,"Badsha ji aap itna badhi baat kartey to  pl hamesa  contestants ki future ka sabal hey jo judgement  longey correct and fair decession  lo
 My vote fo Jyotirmayee."
youtube_comment,"Sorry to write that Judge Badshae shud sit on the judge s chair
 properly. His sitting is not appreciable at all."
youtube_comment,Qwertyuiopasdfghjklzxcvbnm❤😂🎉😢😮😅😊
youtube_comment,1:59
youtube_comment,21:12 21:13 21:13 21:13 21:14 21:14 21:15 21:15
youtube_comment,Khushbu dress up is the very bad
youtube_comment,Sonia pizza curalan
youtube_comment,16:10 inta tej bol rahe ho koi sun lega
youtube_comment,Mujhe tum maon pasand ab toh sony pasand😢😢
youtube_comment,❤😢😊
youtube_comment,"Di 
Please prank video on moni"
youtube_comment,"Dii 
Please prank video on moni di"
youtube_comment,so cute   sisters
youtube_comment,Soni Didi aap nikaljay to
youtube_comment,😡😡😡😡
youtube_comment,Anu❤❤❤❤❤😢😢😢😢😢❤😢❤😢😢❤😢❤😢❤😢😢❤😢❤😢❤😢😢❤❤😢😢😢❤😢❤😢😢❤😢❤🎉❤😢❤😢❤😢❤😢❤😢❤😢❤😢❤😢❤😢😢❤😢❤😢❤😢❤😢❤😢❤😢❤😢❤😢❤😢❤😢❤😢❤😢😢❤😢❤😢❤😢❤😢❤😢❤😢😢❤😢❤😢❤😢❤😢❤😢❤😢😢❤😢❤😢❤😢❤😢😢❤🎉🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊
youtube_comment,Vote for ritual
youtube_comment,Soni didi this is your house😊
youtube_comment,😢😢😢😢😢
youtube_comment,Will this be on physical 4K 📀? Only thing I’m worried about.😊
youtube_comment,Can't wait to watch it
